rank,track_name,artists,genres
1,Giving Up On That,Dalton Dover,country
2,Hell of a Highway,Jake Worthington,"traditional country, texas country, red dirt, honky tonk"
3,Everything But Me,Will Moseley,
4,Sand In My Boots,Morgan Wallen,country
5,Neon Moon (with Morgan Wallen),"Brooks & Dunn, Morgan Wallen","country, acoustic country"
6,I Never Lie,Zach Top,country
7,Made Of Gold,Derek Ryan,
8,Falling into Love,Raya,
9,You In A Honky Tonk,Randall King,"texas country, red dirt, country, traditional country, honky tonk"
10,supernatural (with Troye Sivan),"Ariana Grande, Troye Sivan",pop
11,Love You Anyway,Luke Combs,country
12,Nanti Kita Seperti Ini,Batas Senja,"indonesian indie, indonesian pop"
13,Where the Wild Things Are,Luke Combs,country
14,I Started A Joke,Bee Gees,disco
15,Ada Selamanya,"For Revenge, Fiersa Besari","indonesian indie, indonesian pop, pop punk, indorock"
16,Lose,NIKI,
17,Fields of Gold,"Michael Bolton, Eva Cassidy",soft rock
18,Moving On,Lola Yulia,
19,Mean It,"Lauv, LANY",
20,In a Bar,Maoli,"nz reggae, reggae"
21,Nina,.Feast,"indonesian indie, indorock"
22,supernatural,Ariana Grande,pop
23,Sand In My Boots,High Watah,reggae
24,I Should've Never Left Mexico,Matt Mercado,
25,Let Her Go,Passenger,folk pop
26,"Love Without End, Amen",George Strait,"country, traditional country, honky tonk"
27,Moving On,Kodaline,
28,Lesung Pipi,Raim Laode,"indonesian pop, indonesian indie"
29,Be Alright,Dean Lewis,
30,Birds of a Feather,Dorin,
31,Kesepian,Dygta,indonesian pop
32,Untukmu Selamanya,Ungu,"indonesian pop, malay, malay pop, sholawat, indorock"
33,Thunder,"Gabry Ponte, LUM!X, PREZIOSO","slap house, italo dance"
34,bloodline,Ariana Grande,pop
35,Sixteen,Chelsea Cutler,
36,You’ll Think Of Me,Keith Urban,country
37,Hurricane,Luke Combs,country
38,Dear Alcohol,Dax,
39,Stecu Stecu,Faris Adam,"lagu timur, maluku, funkot, dangdut"
40,Ngapain Repot,"Wizz Baker, Toton Caribo, Fresly Nikijuluw","lagu timur, maluku, batak, indonesian pop"
41,Runtuh,"Feby Putri, Fiersa Besari","indonesian pop, indonesian indie"
42,Bless The Broken Road,Rascal Flatts,country
43,Usik,Feby Putri,"indonesian pop, indonesian indie"
44,Serana,For Revenge,"indonesian indie, indonesian pop, pop punk, indorock"
45,Ave Maria,Canto Católico,gregorian chant
46,Hingga Akhir Waktu,NINEBALL,indonesian pop
47,Menceritakanmu,Batas Senja,"indonesian indie, indonesian pop"
48,Anima Christi,Marco Frisina,"gregorian chant, choral"
49,Jakarta Hari Ini,"For Revenge, Stereo Wall","indonesian indie, indonesian pop, pop punk, indorock"
50,"Yang Patah Tumbuh, Yang Hilang Berganti",Banda Neira,indonesian indie
